loan_id,customer_id,origination_date,maturity_date,region,country,industry,customer_segment,loan_product,loan_amount,outstanding_balance,interest_rate,term_months,credit_score,annual_revenue_m,collateral_value,ltv,debt_service_coverage_ratio,payment_status,days_past_due,risk_score,risk_bucket,default_flag
L100000,C1207,2024-07-06,2028-07-06,Asia-Pacific,Australia,Public Sector,Mid-Market,Equipment Finance,390768.53,322486.13,0.032,48,688.0,55.42,417754.91,0.772,1.9,Current,0,30.5,Low,0
L100001,C1241,2024-05-01,2029-05-01,Europe,Germany,Transportation,Public Sector,Leasing,4064572.74,3324410.31,0.0371,60,768.0,221.11,6474574.54,0.513,2.37,Current,0,22.5,Low,0
L100002,C1307,2023-03-13,2026-03-13,Middle East & Africa,South Africa,Energy,Mid-Market,Working Capital,959182.72,334330.61,0.0864,36,693.0,26.2,969885.94,0.345,1.0,Current,0,40.8,Moderate,0
L100003,C1212,2023-05-08,2027-05-08,Asia-Pacific,Singapore,Construction,Mid-Market,Leasing,890800.85,459815.26,0.0875,48,699.0,43.67,1081278.79,0.425,1.14,Current,0,38.7,Moderate,0
L100004,C1067,2024-10-01,2028-10-01,North America,United States,Manufacturing,Enterprise,Equipment Finance,3819465.35,3082099.72,0.0335,48,691.0,626.14,4677735.59,0.659,1.54,Current,0,28.4,Low,0
L100005,C1347,2024-09-22,2029-09-22,Latin America,Colombia,Construction,Mid-Market,Leasing,1618970.85,1272778.69,0.1115,60,675.0,25.92,2147749.78,0.593,1.1,Late 30,31,62.1,Elevated,0
L100006,C1154,2024-08-17,2031-08-17,Asia-Pacific,China,Transportation,Enterprise,Leasing,5252278.45,4413985.9,0.0622,84,764.0,343.63,5298230.86,0.833,1.51,Current,0,40.6,Moderate,0
L100007,C1182,2023-06-26,2029-06-26,Asia-Pacific,China,Manufacturing,Mid-Market,Equipment Finance,1897187.7,1408025.51,0.0472,72,741.0,44.69,3071957.15,0.458,1.81,Default,182,64.8,Elevated,1
L100008,C1243,2024-07-14,2029-07-14,North America,United States,Manufacturing,SME,Working Capital,234008.7,201201.95,0.0832,60,642.0,5.73,245336.54,0.82,1.52,Late 60,61,78.6,High,0
L100009,C1100,2023-03-13,2028-03-13,Europe,Germany,Construction,Enterprise,Equipment Finance,2832679.31,1669512.13,0.0564,60,693.0,1201.24,4092788.68,0.408,1.56,Current,0,29.2,Low,0
L100010,C1375,2023-06-24,2028-06-24,Europe,Germany,Energy,SME,Working Capital,280175.56,207490.19,0.0951,60,626.0,4.57,367199.09,0.565,1.42,Late 30,42,59.9,Elevated,0
L100011,C1016,2024-06-03,2028-06-03,Latin America,Brazil,Retail,SME,Leasing,393052.51,275745.05,0.1099,48,635.0,3.58,408327.15,0.675,1.35,Current,0,46.1,Moderate,0
L100012,C1058,2024-11-11,2026-11-11,Asia-Pacific,China,Construction,Mid-Market,Project Finance,1605319.2,999818.97,0.0909,24,629.0,318.36,1655705.84,0.604,0.9,Current,0,57.6,Elevated,0
L100013,C1376,2024-12-23,2029-12-23,Middle East & Africa,Saudi Arabia,Construction,Enterprise,Equipment Finance,2829361.47,2482682.27,0.0755,60,709.0,366.94,3778898.73,0.657,1.63,Late 60,73,57.2,Elevated,0
L100014,C1171,2025-12-09,2030-12-09,Europe,United Kingdom,Energy,Enterprise,Equipment Finance,6693233.75,6559369.08,0.0433,60,752.0,426.49,10773403.48,0.609,1.44,Current,0,24.5,Low,0
L100015,C1339,2025-07-25,2029-07-25,North America,Mexico,Construction,SME,Equipment Finance,857060.35,790233.25,0.1035,48,620.0,4.41,911834.36,0.867,1.15,Current,0,72.5,Elevated,0
L100016,C1344,2024-02-08,2030-02-08,Europe,Netherlands,Retail,SME,Leasing,158537.22,118610.24,0.0773,72,657.0,4.63,237231.55,0.5,1.53,Current,0,33.1,Low,0
L100017,C1376,2025-05-12,2030-05-12,North America,Canada,Manufacturing,Public Sector,Equipment Finance,1926488.45,1800616.19,0.032,60,740.0,241.36,2688544.56,0.67,1.99,Current,0,23.8,Low,0
L100018,C1275,2023-04-26,2027-04-26,Middle East & Africa,South Africa,Healthcare,SME,Project Finance,740294.31,338310.24,0.0706,48,723.0,9.73,978167.59,0.346,1.59,Current,0,16.2,Low,0
