lender,lender_city,lender_state,do_code,sba_do_name,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
"Newtek Bank, National Association",Miami,FL,455,SOUTH FLORIDA DISTRICT OFFICE,401,207913100,155942575,518486.53,75.0
The Huntington National Bank,Columbus,OH,515,MICHIGAN DISTRICT OFFICE,1385,191740500,131631620,138440.79,68.65
The Huntington National Bank,Columbus,OH,593,COLUMBUS DISTRICT OFFICE,1049,178718900,123530700,170370.73,69.12
The Huntington National Bank,Columbus,OH,549,CLEVELAND DISTRICT OFFICE,1234,158577600,107927050,128506.97,68.06
"Newtek Bank, National Association",Miami,FL,202,NEW YORK DISTRICT OFFICE,221,147469900,110259375,667284.62,74.77
"TD Bank, National Association",Wilmington,DE,202,NEW YORK DISTRICT OFFICE,1034,125111500,70848875,120997.58,56.63
Byline Bank,Chicago,IL,507,ILLINOIS DISTRICT OFFICE,90,119626800,88430600,1329186.67,73.92
Live Oak Banking Company,Wilmington,NC,455,SOUTH FLORIDA DISTRICT OFFICE,85,119459400,85821050,1405404.71,71.84
"Newtek Bank, National Association",Miami,FL,914,LOS ANGELES DISTRICT OFFICE,201,116215500,87407700,578186.57,75.21
Live Oak Banking Company,Wilmington,NC,610,DALLAS / FT WORTH DISTRICT OFFICE,72,112746000,79246750,1565916.67,70.29
First Internet Bank of Indiana,Fishers,IN,455,SOUTH FLORIDA DISTRICT OFFICE,60,108129500,81181475,1802158.33,75.08
Live Oak Banking Company,Wilmington,NC,460,NORTH CAROLINA DISTRICT OFFICE,96,105863700,76053935,1102746.88,71.84
"Readycap Lending, LLC",Berkeley Heights,NJ,202,NEW YORK DISTRICT OFFICE,297,101819300,76722375,342825.93,75.35
The Huntington National Bank,Columbus,OH,507,ILLINOIS DISTRICT OFFICE,655,101063300,71259575,154295.11,70.51
"Newtek Bank, National Association",Miami,FL,405,GEORGIA DISTRICT OFFICE,195,97275300,73090775,498847.69,75.14
"Bank of America, National Association",Charlotte,NC,455,SOUTH FLORIDA DISTRICT OFFICE,213,95183500,57901500,446870.89,60.83
"TD Bank, National Association",Wilmington,DE,299,NEW JERSEY DISTRICT OFFICE,755,94967700,54931350,125785.03,57.84
"JPMorgan Chase Bank, National Association",Columbus,OH,202,NEW YORK DISTRICT OFFICE,413,94626900,53090175,229120.82,56.1
Live Oak Banking Company,Wilmington,NC,811,COLORADO DISTRICT OFFICE,76,91456000,66092250,1203368.42,72.27
OakStar Bank,Springfield,MO,709,KANSAS CITY DISTRICT OFFICE,107,91323100,69037665,853486.92,75.6
"TD Bank, National Association",Wilmington,DE,455,SOUTH FLORIDA DISTRICT OFFICE,628,87077500,53820750,138658.44,61.81
GBank,Las Vegas,NV,460,NORTH CAROLINA DISTRICT OFFICE,25,86664500,64590075,3466580.0,74.53
Live Oak Banking Company,Wilmington,NC,671,HOUSTON DISTRICT OFFICE,46,82756300,61682025,1799050.0,74.53
"Readycap Lending, LLC",Berkeley Heights,NJ,1013,SEATTLE DISTRICT OFFICE,88,81848300,61471775,930094.32,75.1
Live Oak Banking Company,Wilmington,NC,912,SAN FRANCISCO DISTRICT OFFICE,65,77138000,56693750,1186738.46,73.5
BayFirst National Bank,Saint Petersburg,FL,455,SOUTH FLORIDA DISTRICT OFFICE,320,75640300,60581095,236375.94,80.09
"Newtek Bank, National Association",Miami,FL,912,SAN FRANCISCO DISTRICT OFFICE,105,74182000,55619500,706495.24,74.98
"Readycap Lending, LLC",Berkeley Heights,NJ,455,SOUTH FLORIDA DISTRICT OFFICE,349,73972700,56599075,211956.16,76.51
"Newtek Bank, National Association",Miami,FL,299,NEW JERSEY DISTRICT OFFICE,124,73485400,55074690,592624.19,74.95
The Huntington National Bank,Columbus,OH,811,COLORADO DISTRICT OFFICE,277,72401700,52869935,261377.98,73.02
Wallis Bank,Wallis,TX,671,HOUSTON DISTRICT OFFICE,43,71883700,54571115,1671713.95,75.92
Millennium Bank,Des Plaines,IL,507,ILLINOIS DISTRICT OFFICE,28,70923700,53192775,2532989.29,75.0
Live Oak Banking Company,Wilmington,NC,491,NORTH FLORIDA DISTRICT OFFICE,49,70735800,49710730,1443587.76,70.28
"Newtek Bank, National Association",Miami,FL,491,NORTH FLORIDA DISTRICT OFFICE,161,70664000,53127500,438906.83,75.18
Banco Popular de Puerto Rico,San Juan,PR,252,PUERTO RICO AND USVI DISTRICT OFFICE,456,70285500,43970945,154134.87,62.56
"Newtek Bank, National Association",Miami,FL,920,SANTA ANA DISTRICT OFFICE,137,69179800,51973750,504962.04,75.13
Metro City Bank,Doraville,GA,405,GEORGIA DISTRICT OFFICE,26,67240000,50440000,2586153.85,75.01
"Newtek Bank, National Association",Miami,FL,671,HOUSTON DISTRICT OFFICE,97,65892500,49505875,679304.12,75.13
Mountain America FCU,Sandy,UT,883,UTAH DISTRICT OFFICE,169,64012100,46632275,378769.82,72.85
"U.S. Bank, National Association",Cincinnati,OH,1013,SEATTLE DISTRICT OFFICE,165,62844900,44018547,380878.18,70.04
"Bank of America, National Association",Charlotte,NC,914,LOS ANGELES DISTRICT OFFICE,108,61600600,40789675,570375.93,66.22
"JPMorgan Chase Bank, National Association",Columbus,OH,914,LOS ANGELES DISTRICT OFFICE,221,61454600,36860800,278075.11,59.98
"Newtek Bank, National Association",Miami,FL,303,PHILADELPHIA DISTRICT OFFICE,94,61236500,45977125,651452.13,75.08
"U.S. Bank, National Association",Cincinnati,OH,920,SANTA ANA DISTRICT OFFICE,314,60881300,42795050,193889.49,70.29
The Huntington National Bank,Columbus,OH,562,INDIANA DISTRICT OFFICE,331,60183800,42357605,181824.17,70.38
The Huntington National Bank,Columbus,OH,610,DALLAS / FT WORTH DISTRICT OFFICE,158,59457700,43673775,376314.56,73.45
Live Oak Banking Company,Wilmington,NC,405,GEORGIA DISTRICT OFFICE,40,59147800,43837850,1478695.0,74.12
"Readycap Lending, LLC",Berkeley Heights,NJ,914,LOS ANGELES DISTRICT OFFICE,225,58348600,44340100,259327.11,75.99
The Huntington National Bank,Columbus,OH,455,SOUTH FLORIDA DISTRICT OFFICE,168,57856200,42386150,344382.14,73.26
"Newtek Bank, National Association",Miami,FL,610,DALLAS / FT WORTH DISTRICT OFFICE,125,56578000,42562000,452624.0,75.23
"U.S. Bank, National Association",Cincinnati,OH,912,SAN FRANCISCO DISTRICT OFFICE,188,56291700,40321175,299423.94,71.63
Comerica Bank,Dallas,TX,515,MICHIGAN DISTRICT OFFICE,69,55340300,38410725,802033.33,69.41
"Newtek Bank, National Association",Miami,FL,515,MICHIGAN DISTRICT OFFICE,85,54541400,40864900,641663.53,74.92
Paradise Bank,Boca Raton,FL,455,SOUTH FLORIDA DISTRICT OFFICE,30,54061000,39220690,1802033.33,72.55
Live Oak Banking Company,Wilmington,NC,299,NEW JERSEY DISTRICT OFFICE,40,53793500,38709155,1344837.5,71.96
Valley National Bank,Passaic,NJ,455,SOUTH FLORIDA DISTRICT OFFICE,37,53703100,40277325,1451435.14,75.0
"JPMorgan Chase Bank, National Association",Columbus,OH,455,SOUTH FLORIDA DISTRICT OFFICE,246,52582000,28610250,213747.97,54.41
"Newtek Bank, National Association",Miami,FL,507,ILLINOIS DISTRICT OFFICE,98,52369400,39244050,534381.63,74.94
Live Oak Banking Company,Wilmington,NC,920,SANTA ANA DISTRICT OFFICE,32,52044500,38015775,1626390.62,73.04
"U.S. Bank, National Association",Cincinnati,OH,914,LOS ANGELES DISTRICT OFFICE,226,51920900,36529500,229738.5,70.36
American Bank,Covington,LA,679,LOUISIANA DISTRICT OFFICE,57,51905400,38398705,910621.05,73.98
"Newtek Bank, National Association",Miami,FL,811,COLORADO DISTRICT OFFICE,92,51075000,38289250,555163.04,74.97
City National Bank,Los Angeles,CA,914,LOS ANGELES DISTRICT OFFICE,34,50851000,38013250,1495617.65,74.75
"U.S. Bank, National Association",Cincinnati,OH,508,MINNESOTA DISTRICT OFFICE,230,50581600,33851320,219920.0,66.92
Live Oak Banking Company,Wilmington,NC,515,MICHIGAN DISTRICT OFFICE,44,48910000,35807750,1111590.91,73.21
"Newtek Bank, National Association",Miami,FL,988,ARIZONA DISTRICT OFFICE,97,48718500,36663500,502252.58,75.26
"Readycap Lending, LLC",Berkeley Heights,NJ,405,GEORGIA DISTRICT OFFICE,153,48609900,36897265,317711.76,75.9
"Readycap Lending, LLC",Berkeley Heights,NJ,610,DALLAS / FT WORTH DISTRICT OFFICE,117,48302700,36436725,412843.59,75.43
The Huntington National Bank,Columbus,OH,358,PITTSBURGH DISTRICT OFFICE,325,47764300,32696995,146967.08,68.45
Old National Bank,Evansville,IN,563,WISCONSIN DISTRICT OFFICE,53,47627500,34585625,898632.08,72.62
Live Oak Banking Company,Wilmington,NC,1013,SEATTLE DISTRICT OFFICE,38,47579900,35018175,1252102.63,73.6
Live Oak Banking Company,Wilmington,NC,914,LOS ANGELES DISTRICT OFFICE,36,47199000,34559250,1311083.33,73.22
Old National Bank,Evansville,IN,508,MINNESOTA DISTRICT OFFICE,35,47198200,34317400,1348520.0,72.71
