lender,lender_city,lender_state,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
"Newtek Bank, National Association",Miami,FL,3819,2098740400,1575589230.0,549552.34,75.07
Live Oak Banking Company,Wilmington,NC,1440,1983953500,1442094502.5,1377745.49,72.69
The Huntington National Bank,Columbus,OH,7577,1530064700,1086164540.0,201935.42,70.99
"Readycap Lending, LLC",Berkeley Heights,NJ,3571,1042855800,791447555.0,292034.67,75.89
"U.S. Bank, National Association",Cincinnati,OH,3119,708227200,496722516.6,227068.68,70.14
"JPMorgan Chase Bank, National Association",Columbus,OH,2553,626150300,367085025.0,245260.6,58.63
"Bank of America, National Association",Charlotte,NC,1190,609574600,396435320.0,512247.56,65.03
First Internet Bank of Indiana,Fishers,IN,397,580272200,429932432.2,1461642.82,74.09
"TD Bank, National Association",Wilmington,DE,3996,569701600,349263325.0,142567.97,61.31
"Wells Fargo Bank, National Association",Sioux Falls,SD,2224,567031300,413780263.0,254960.12,72.97
BayFirst National Bank,Saint Petersburg,FL,3187,508046500,421188465.0,159412.14,82.9
Byline Bank,Chicago,IL,410,504582400,371731002.9,1230688.78,73.67
Celtic Bank Corporation,Salt Lake City,UT,960,499440300,382048617.3,520250.31,76.5
GBank,Las Vegas,NV,179,474608300,352491925.0,2651443.02,74.27
First Bank of the Lake,Osage Beach,MO,705,389591300,293327261.0,552611.77,75.29
"Harvest Small Business Finance, LLC",Laguna Hills,CA,331,330823000,248117250.0,999465.26,75.0
Cadence Bank,Tupelo,MS,793,293718200,222036490.0,370388.65,75.6
Northeast Bank,Lewiston,ME,2552,289033200,231525350.0,113257.52,80.1
"United Midwest Savings Bank, National Association",De Graff,OH,843,279922300,217970525.0,332054.92,77.87
Old National Bank,Evansville,IN,241,262459100,192558325.0,1089041.91,73.37
Bank of Hope,Los Angeles,CA,283,245287500,179266525.0,866740.28,73.08
Berkshire Bank,Pittsfield,MA,189,236670700,176119700.0,1252225.93,74.42
KeyBank National Association,Cleveland,OH,702,226749400,159566070.0,323004.84,70.37
Manufacturers and Traders Trust Company,Buffalo,NY,1832,207807100,134972680.0,113431.82,64.95
Enterprise Bank & Trust,Clayton,MO,162,205674200,154170355.0,1269593.83,74.96
Hanover Community Bank,Mineola,NY,158,181580200,136235900.0,1149241.77,75.03
Open Bank,Los Angeles,CA,115,180264800,130824935.2,1567520.0,72.57
"SouthState Bank, National Association",Winter Haven,FL,473,177329500,135432685.0,374903.81,76.37
Dogwood State Bank,Raleigh,NC,182,176847300,131325875.0,971688.46,74.26
"Lendistry SBLC, LLC",Los Angeles,CA,1002,173876700,139022775.0,173529.64,79.95
Citizens Bank,Elizabethton,TN,262,173259100,129924028.76,661294.27,74.99
Fifth Third Bank,Cincinnati,OH,220,171841200,123154850.0,781096.36,71.67
"VelocitySBA, LLC",Costa Mesa,CA,152,159380300,122067525.0,1048554.61,76.59
"T Bank, National Association",Dallas,TX,97,151853200,113792624.0,1565496.91,74.94
"Zions Bank, A Division of",Salt Lake City,UT,607,148840300,109693155.0,245206.43,73.7
Hanmi Bank,Los Angeles,CA,151,147450700,110346425.0,976494.7,74.84
Bank Five Nine,Oconomowoc,WI,153,145764900,109697075.0,952711.76,75.26
Comerica Bank,Dallas,TX,208,143777900,99338300.0,691239.9,69.09
Pathward National Association,Sioux Falls,SD,102,142188000,105031670.0,1394000.0,73.87
Wallis Bank,Wallis,TX,108,141084500,106480005.0,1306337.96,75.47
Commonwealth Business Bank,Los Angeles,CA,113,137439000,102764950.0,1216274.34,74.77
Shoreham Bank,Warwick,RI,65,135156500,101469375.0,2079330.77,75.08
Pinnacle Bank,Nashville,TN,126,129753900,96253675.0,1029792.86,74.18
Colony Bank,Fitzgerald,GA,477,128643900,104060815.0,269693.71,80.89
Mission Valley Bank,Sun Valley,CA,78,125172700,91855999.0,1604778.21,73.38
First Financial Bank,El Dorado,AR,94,123908300,93027625.0,1318173.4,75.08
Millennium Bank,Des Plaines,IL,44,116118400,87088800.0,2639054.55,75.0
Midwest Regional Bank,Festus,MO,99,115449500,87712575.0,1166156.57,75.97
United Community Bank,Greenville,SC,116,113927000,84364000.0,982129.31,74.05
First Commonwealth Bank,Indiana,PA,159,113764400,85085750.0,715499.37,74.79
City National Bank,Los Angeles,CA,94,111298700,82911275.0,1184028.72,74.49
First-Citizens Bank & Trust Company,Raleigh,NC,95,109063800,79254350.0,1148040.0,72.67
OakStar Bank,Springfield,MO,121,108309400,81941590.0,895119.01,75.66
"PNC Bank, National Association",Wilmington,DE,597,106826600,73885075.0,178939.03,69.16
Truliant FCU,Winston Salem,NC,66,104055600,78093700.0,1576600.0,75.05
Regions Bank,Birmingham,AL,93,103985800,78402825.0,1118126.88,75.4
First National Bank of Pennsylvania,Greenville,PA,109,102275500,74437875.0,938307.34,72.78
Metro City Bank,Doraville,GA,50,99437500,74588125.0,1988750.0,75.01
Meridian Bank,Malvern,PA,120,98509300,71875475.0,820910.83,72.96
PCB Bank,Los Angeles,CA,99,98357000,73645950.0,993505.05,74.88
Customers Bank,Malvern,PA,87,97730900,71633175.0,1123343.68,73.3
22nd State Bank,Louisville,AL,68,95059800,71306000.0,1397938.24,75.01
"Wilmington Savings Fund Society, FSB",Wilmington,DE,120,93120700,68620075.0,776005.83,73.69
Southwestern National Bank,Houston,TX,56,92469500,69352125.0,1651241.07,75.0
Webster Bank National Association,Waterbury,CT,292,92292600,55601225.0,316070.55,60.24
Mountain America FCU,Sandy,UT,233,90150000,65933180.0,386909.87,73.14
Hancock Whitney Bank,Gulfport,MS,144,89694900,66475605.0,622881.25,74.11
Gulf Coast Bank and Trust Company,New Orleans,LA,84,89673000,67505250.0,1067535.71,75.28
Veritex Community Bank,Dallas,TX,89,89611500,67491660.0,1006870.79,75.32
America First FCU,Riverdale,UT,83,88611900,66478125.0,1067613.25,75.02
Truist Bank,Charlotte,NC,62,87795300,66108975.0,1416053.23,75.3
Northwest Bank,Warren,PA,241,86821000,61912500.0,360253.11,71.31
First IC Bank,Doraville,GA,68,86633000,65004750.0,1274014.71,75.03
Stearns Bank National Association,Saint Cloud,MN,157,84651900,63469735.0,539184.08,74.98
First Savings Bank,Jeffersonville,IN,102,84499400,63701000.0,828425.49,75.39
Woori America Bank,New York,NY,77,82385800,61420850.0,1069945.45,74.55
The Bancorp Bank National Association,Sioux Falls,SD,89,82347800,61433230.3,925256.18,74.6
First Chatham Bank,Savannah,GA,76,81005300,61234785.0,1065859.21,75.59
FinWise Bank,Sandy,UT,97,80810800,64975850.0,833101.03,80.4
First Bank,Southern Pines,NC,86,80701300,61422175.0,938387.21,76.11
Exos Small Business Lending LLC,New York,NY,61,78813500,59140125.0,1292024.59,75.04
HomeTrust Bank,Asheville,NC,79,78543100,58755355.0,994216.46,74.81
First Bank of Central Ohio,Worthington,OH,48,78367400,57492220.0,1632654.17,73.36
East West Bank,Pasadena,CA,108,76446200,58074950.0,707835.19,75.97
"Capital One, National Association",Mclean,VA,74,76068700,53879275.0,1027955.41,70.83
Banner Bank,Walla Walla,WA,300,75685200,48091475.0,252284.0,63.54
Valley National Bank,Passaic,NJ,53,74911700,56183775.0,1413428.3,75.0
"Centerstone SBA Lending, Inc.",Los Angeles,CA,61,74878500,56173875.0,1227516.39,75.02
US Metro Bank,Garden Grove,CA,43,73944000,55458000.0,1719627.91,75.0
Platinum Bank,Oakdale,MN,98,73020700,51928725.0,745109.18,71.12
Peoples Bank,Mendenhall,MS,103,72878900,54506532.0,707562.14,74.79
Synovus Bank,Columbus,GA,46,71804300,53409475.0,1560963.04,74.38
"Fulton Bank, National Association",Lancaster,PA,104,70362400,52630100.0,676561.54,74.8
Banco Popular de Puerto Rico,San Juan,PR,456,70285500,43970945.0,154134.87,62.56
"Community Banks of Colorado, A Division of",Greenwood Village,CO,75,67190800,49102635.0,895877.33,73.08
Merchants Bank of Indiana,Carmel,IN,71,65573500,48762625.0,923570.42,74.36
FFB Bank,Fresno,CA,59,65202700,47392010.4,1105130.51,72.68
Washington Trust Bank,Spokane,WA,141,64419600,45005675.0,456876.6,69.86
Paradise Bank,Boca Raton,FL,34,62673000,45679690.0,1843323.53,72.89
Banc of California,Los Angeles,CA,37,61183700,44195031.16,1653613.51,72.23
BMO Bank National Association,Chicago,IL,55,58740900,44005675.0,1068016.36,74.91
American Bank,Covington,LA,64,58198400,43068455.0,909350.0,74.0
FWBank,Chicago,IL,44,57592300,43194225.0,1308915.91,75.0
Umpqua Bank,Roseburg,OR,674,56749200,35493350.0,84197.63,62.54
InBank,Raton,NM,35,55676600,41669950.0,1590760.0,74.84
Grasshopper Bank National Association,New York,NY,38,55198600,41398950.0,1452594.74,75.0
Firstrust Savings Bank,Conshohocken,PA,39,54014500,41150250.0,1384987.18,76.18
Seacoast National Bank,Stuart,FL,42,53828900,40386675.0,1281640.48,75.03
"Heritage Bank, Inc.",Burlington,KY,223,52321600,42592070.0,234626.01,81.4
MidFirst Bank,Oklahoma City,OK,34,52113200,37524990.0,1532741.18,72.01
Plumas Bank,Quincy,CA,55,51060000,38295000.0,928363.64,75.0
"First Western SBLC, Inc",Dallas,TX,28,50170000,37627500.0,1791785.71,75.0
CDC Small Business Finance Corporation,San Diego,CA,305,49581000,38991790.0,162560.66,78.64
CalPrivate Bank,La Jolla,CA,50,49203900,36902925.0,984078.0,75.0
Frost Bank,San Antonio,TX,78,48392000,35661165.0,620410.26,73.69
Rockland Trust Company,Rockland,MA,137,47541700,33561715.0,347019.71,70.59
North State Bank,Raleigh,NC,57,47002600,35266950.0,824607.02,75.03
Busey Bank,Champaign,IL,35,44816300,31778975.0,1280465.71,70.91
Everwise Credit Union,South Bend,IN,19,44421200,33299920.0,2337957.89,74.96
"CRF Small Business Loan Company, LLC",Minneapolis,MN,53,42817300,31917875.0,807873.58,74.54
Independent Bank d/b/a Independent Financial,Mckinney,TX,58,42758900,31148600.0,737222.41,72.85
New Millennium Bank,Fort Lee,NJ,42,42447000,31888750.0,1010642.86,75.13
American Momentum Bank,College Station,TX,46,42227000,31670250.0,917978.26,75.0
"LendingClub Bank, National Association",Lehi,UT,37,42103200,31552400.0,1137924.32,74.94
Eastern Bank,Boston,MA,329,42078300,25856430.0,127897.57,61.45
The State Bank,Fenton,MI,63,41165300,30098050.0,653417.46,73.12
First Business Bank,Madison,WI,44,40638000,30478500.0,923590.91,75.0
"Bremer Bank, National Association",Saint Paul,MN,52,40328300,29724925.0,775544.23,73.71
Idaho Central CU,Chubbuck,ID,54,39072300,28332715.0,723561.11,72.51
NewBank,Queens,NY,42,39038000,29332500.0,929476.19,75.14
Summit State Bank,Santa Rosa,CA,24,38835000,29876250.0,1618125.0,76.93
Georgia's Own Credit Union,Atlanta,GA,27,38466400,28849800.0,1424681.48,75.0
City National Bank of Florida,Miami,FL,82,37543500,28103925.0,457847.56,74.86
PromiseOne Bank,Duluth,GA,34,37525000,28158750.0,1103676.47,75.04
Northwest Bank,Boise,ID,39,37337000,27731000.0,957358.97,74.27
Gesa CU,Richland,WA,47,37209100,27878575.0,791682.98,74.92
Stock Yards Bank & Trust Company,Louisville,KY,53,37141200,26451500.0,700777.36,71.22
The Fidelity Bank,Fuquay Varina,NC,33,36906800,27592600.0,1118387.88,74.76
