lender,lender_city,lender_state,project_state,project_county,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
"Newtek Bank, National Association",Miami,FL,CA,LOS ANGELES,172,100387500,75542950.0,583648.26,75.25
"Newtek Bank, National Association",Miami,FL,FL,MIAMI-DADE,121,70991100,53285575.0,586703.31,75.06
The Huntington National Bank,Columbus,OH,OH,FRANKLIN,336,61237000,41934850.0,182252.98,68.48
"JPMorgan Chase Bank, National Association",Columbus,OH,CA,LOS ANGELES,213,60217600,36242300.0,282711.74,60.19
The Huntington National Bank,Columbus,OH,IL,COOK,379,55120700,38592350.0,145437.2,70.01
"Newtek Bank, National Association",Miami,FL,NY,NEW YORK,64,54284300,40284975.0,848192.19,74.21
"Bank of America, National Association",Charlotte,NC,CA,LOS ANGELES,93,53516300,35364675.0,575444.09,66.08
Wallis Bank,Wallis,TX,TX,HARRIS,30,52682100,39486275.0,1756070.0,74.95
"Readycap Lending, LLC",Berkeley Heights,NJ,CA,LOS ANGELES,198,51908700,39432025.0,262165.15,75.96
City National Bank,Los Angeles,CA,CA,LOS ANGELES,32,48723500,36417625.0,1522609.38,74.74
Byline Bank,Chicago,IL,IL,COOK,40,45837300,34192975.0,1145932.5,74.6
"Newtek Bank, National Association",Miami,FL,CA,SAN DIEGO,65,44133000,33089250.0,678969.23,74.98
"Newtek Bank, National Association",Miami,FL,CA,ORANGE,82,43797000,33024900.0,534109.76,75.4
"Harvest Small Business Finance, LLC",Laguna Hills,CA,CA,LOS ANGELES,31,43567300,32675475.0,1405396.77,75.0
"U.S. Bank, National Association",Cincinnati,OH,CA,LOS ANGELES,181,42683000,30019800.0,235817.68,70.33
Live Oak Banking Company,Wilmington,NC,CA,LOS ANGELES,31,42329000,30906750.0,1365451.61,73.02
"Newtek Bank, National Association",Miami,FL,TX,HARRIS,66,40897500,30729375.0,619659.09,75.14
"Newtek Bank, National Association",Miami,FL,FL,BROWARD,78,40598000,30442800.0,520487.18,74.99
The Huntington National Bank,Columbus,OH,OH,CUYAHOGA,265,40422900,28380430.0,152539.25,70.21
Mountain America FCU,Sandy,UT,UT,SALT LAKE,82,39832500,29236845.0,485762.2,73.4
Millennium Bank,Des Plaines,IL,IL,COOK,15,39395000,29546250.0,2626333.33,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,CA,LOS ANGELES,124,38471800,28341350.0,310256.45,73.67
"Newtek Bank, National Association",Miami,FL,AZ,MARICOPA,74,37182000,27943750.0,502459.46,75.15
Live Oak Banking Company,Wilmington,NC,TX,DALLAS,30,36942000,25384000.0,1231400.0,68.71
Paradise Bank,Boca Raton,FL,FL,PALM BEACH,16,36909000,26356690.0,2306812.5,71.41
