geography_key,state,county,region
1,AK,ALEUTIANS WEST,West
2,AK,ANCHORAGE,West
3,AK,BETHEL,West
4,AK,Chugach,West
5,AK,FAIRBANKS NORTH STAR,West
6,AK,JUNEAU,West
7,AK,KENAI PENINSULA,West
8,AK,KETCHIKAN GATEWAY,West
9,AK,KODIAK ISLAND,West
10,AK,MATANUSKA SUSITNA,West
11,AK,NORTH SLOPE,West
12,AK,NORTHWEST ARCTIC,West
13,AK,SKAGWAY,West
14,AK,SOUTHEAST FAIRBANKS,West
15,AK,WRANGELL,West
16,AK,YUKON KOYUKUK,West
17,AL,AUTAUGA,South
18,AL,BALDWIN,South
19,AL,BARBOUR,South
20,AL,BIBB,South
21,AL,BLOUNT,South
22,AL,BULLOCK,South
23,AL,BUTLER,South
24,AL,CALHOUN,South
25,AL,CHAMBERS,South
26,AL,CHEROKEE,South
27,AL,CHILTON,South
28,AL,CLARKE,South
29,AL,CLAY,South
30,AL,CLEBURNE,South
31,AL,COFFEE,South
32,AL,COLBERT,South
33,AL,COVINGTON,South
34,AL,CRENSHAW,South
35,AL,CULLMAN,South
36,AL,DALE,South
37,AL,DALLAS,South
38,AL,DE KALB,South
39,AL,ELMORE,South
40,AL,ESCAMBIA,South
41,AL,ETOWAH,South
42,AL,FRANKLIN,South
43,AL,GENEVA,South
44,AL,HOUSTON,South
45,AL,JACKSON,South
46,AL,JEFFERSON,South
47,AL,LAUDERDALE,South
48,AL,LAWRENCE,South
49,AL,LEE,South
50,AL,LIMESTONE,South
51,AL,LOWNDES,South
52,AL,MACON,South
53,AL,MADISON,South
54,AL,MARSHALL,South
55,AL,MOBILE,South
56,AL,MONROE,South
57,AL,MONTGOMERY,South
58,AL,MORGAN,South
59,AL,PICKENS,South
60,AL,PIKE,South
61,AL,RANDOLPH,South
62,AL,RUSSELL,South
63,AL,SAINT CLAIR,South
64,AL,SHELBY,South
65,AL,SUMTER,South
66,AL,TALLADEGA,South
67,AL,TALLAPOOSA,South
68,AL,TUSCALOOSA,South
69,AL,WALKER,South
70,AL,WINSTON,South
71,AR,ARKANSAS,South
72,AR,BAXTER,South
73,AR,BENTON,South
74,AR,BOONE,South
75,AR,BRADLEY,South
76,AR,CARROLL,South
77,AR,CLARK,South
78,AR,CLAY,South
79,AR,CLEBURNE,South
80,AR,CLEVELAND,South
81,AR,COLUMBIA,South
82,AR,CONWAY,South
83,AR,CRAIGHEAD,South
84,AR,CRAWFORD,South
85,AR,CRITTENDEN,South
86,AR,DREW,South
87,AR,FAULKNER,South
88,AR,FRANKLIN,South
89,AR,GARLAND,South
90,AR,GRANT,South
91,AR,GREENE,South
92,AR,HEMPSTEAD,South
93,AR,HOT SPRING,South
94,AR,IZARD,South
95,AR,JEFFERSON,South
96,AR,LINCOLN,South
97,AR,LOGAN,South
98,AR,LONOKE,South
99,AR,MADISON,South
100,AR,MILLER,South
101,AR,MISSISSIPPI,South
102,AR,OUACHITA,South
103,AR,PERRY,South
104,AR,PHILLIPS,South
105,AR,POPE,South
106,AR,PRAIRIE,South
107,AR,PULASKI,South
108,AR,RANDOLPH,South
109,AR,SALINE,South
110,AR,SEBASTIAN,South
111,AR,STONE,South
112,AR,UNION,South
113,AR,VAN BUREN,South
114,AR,WASHINGTON,South
115,AR,WHITE,South
116,AZ,APACHE,West
117,AZ,COCHISE,West
118,AZ,COCONINO,West
119,AZ,GILA,West
120,AZ,GRAHAM,West
121,AZ,LA PAZ,West
122,AZ,MARICOPA,West
123,AZ,MOHAVE,West
124,AZ,NAVAJO,West
125,AZ,PIMA,West
126,AZ,PINAL,West
127,AZ,SANTA CRUZ,West
128,AZ,YAVAPAI,West
129,AZ,YUMA,West
130,CA,ALAMEDA,West
131,CA,AMADOR,West
132,CA,BUTTE,West
