lender_key,lender_name,lender_city,lender_state
1,1st Capital Bank,Salinas,CA
2,1st Colonial Community Bank,Collingswood,NJ
3,1st Community FCU,San Angelo,TX
4,1st Financial Bank USA,Dakota Dunes,SD
5,1st National Bank,Lebanon,OH
6,1st Security Bank of Washington,Mountlake Terrace,WA
7,1st Source Bank,South Bend,IN
8,1st State Bank,Saginaw,MI
9,21st Century Bank,Loretto,MN
10,22nd State Bank,Louisville,AL
11,4Front Credit Union,Traverse City,MI
12,5Star Bank,Colorado Springs,CO
13,A N E C A FCU,Shreveport,LA
14,"AMPAC Tri-State CDC, Inc.",Ontario,CA
15,AbbyBank,Abbotsford,WI
16,Academy Bank National Association,Kansas City,MO
17,Access Bank,Omaha,NE
18,Accompany Capital,New York,NY
19,Achieva CU,Dunedin,FL
20,Adams Bank & Trust,Ogallala,NE
21,Adelphi Bank,Columbus,OH
22,Affinity Plus FCU,Saint Paul,MN
23,Air Academy FCU,Colorado Springs,CO
24,"Alaska Growth Capital BIDCO, Inc.",Anchorage,AK
25,"Alerus Financial, National Association",Grand Forks,ND
26,Align CU,Lowell,MA
27,All Capital Bank,Locust Grove,OK
28,Alliance Catholic CU,Farmington Hills,MI
29,Alma Bank,Astoria,NY
30,Alpine Bank,Glenwood Springs,CO
31,AltaOne FCU,Ridgecrest,CA
32,Altra FCU,Onalaska,WI
33,Ambler Savings Bank,Ambler,PA
34,"Amerant Bank, National Association",Coral Gables,FL
35,AmeriState Bank,Atoka,OK
36,America First FCU,Riverdale,UT
37,American Bank,Allentown,PA
38,American Bank,Covington,LA
39,"American Bank & Trust Company, Inc.",Bowling Green,KY
40,American Bank and Trust,Sioux Falls,SD
41,American Bank of Commerce,Wolfforth,TX
42,American Bank of Freedom,Wellsville,MO
43,"American Bank, National Association",Corpus Christi,TX
44,"American Bank, National Association",Dallas,TX
45,American Business Bank,Anaheim,CA
46,"American Commerce Bank, National Association",Bremen,GA
47,American Community Bank & Trust,Woodstock,IL
48,American Community Bank of Indiana,Munster,IN
49,American Continental Bank,City Of Industry,CA
50,American Federal Bank,Fargo,ND
51,American Momentum Bank,College Station,TX
52,American National Bank,Omaha,NE
53,American National Bank & Trust,Wichita Falls,TX
54,American National Bank of Minnesota,Baxter,MN
55,American National Bank-Fox Cities,Appleton,WI
56,American Pride Bank,Macon,GA
57,American Riviera Bank,Santa Barbara,CA
58,American United FCU,West Jordan,UT
59,Ameris Bank,Atlanta,GA
60,Andover State Bank,Andover,KS
61,Androscoggin Savings Bank,Lewiston,ME
62,Anstaff Bank,Green Forest,AR
63,Apex Bank,Camden,TN
64,Arbor Bank,Nebraska City,NE
65,Arcadian Bank,Hartland,MN
66,Arcata Economic Development Corporation,Eureka,CA
67,Arize FCU,State College,PA
68,Arizona Capital Source,Tucson,AZ
69,Arizona Financial Credit Union,Phoenix,AZ
70,Arkansas Capital Corporation,Little Rock,AR
71,Arkansas FCU,Little Rock,AR
72,Armstrong Bank,Muskogee,OK
73,Arrowhead Central CU,Rancho Cucamonga,CA
74,Arvest Bank,Fayetteville,AR
75,Ascent Bank,Helena,MT
76,Asian Bank,Philadelphia,PA
77,Aspire Bank,Fargo,ND
78,"Associated Bank, National Association",Green Bay,WI
79,Associated CU of Texas,League City,TX
80,Atlantic Regional Federal Credit Union,South Portland,ME
81,Atlantic Union Bank,Richmond,VA
82,"Austin Bank, Texas National Association",Jacksonville,TX
83,Availa Bank,Carroll,IA
84,Avidia Bank,Hudson,MA
85,B:Side Capital,Denver,CO
86,BANK,Wapello,IA
87,BANK360,Cordell,OK
88,BANKWEST,Rockford,MN
89,BDC Community Capital Corporation,Wakefield,MA
90,BHCU D/B/A Propell Credit Union,Ridley Park,PA
91,BLC Community Bank,Little Chute,WI
92,BMO Bank National Association,Chicago,IL
93,BNC National Bank,Glendale,AZ
94,"BOKF, National Association",Tulsa,OK
95,Banc of California,Los Angeles,CA
96,BancFirst,Oklahoma City,OK
97,Banco Popular de Puerto Rico,San Juan,PR
98,Banesco USA,Miami,FL
99,Bangor Savings Bank,Bangor,ME
100,Bank 7,Oklahoma City,OK
101,"Bank First, N.A.",Manitowoc,WI
102,Bank Five Nine,Oconomowoc,WI
103,Bank Iowa,West Des Moines,IA
104,Bank Michigan,Brooklyn,MI
105,Bank Midwest,Spirit Lake,IA
106,Bank OZK,Little Rock,AR
107,Bank Rhode Island,Providence,RI
108,Bank Star,Pacific,MO
109,"Bank of America, National Association",Charlotte,NC
110,Bank of Ann Arbor,Ann Arbor,MI
111,Bank of Bartlett,Bartlett,TN
112,Bank of Belleville,Belleville,IL
113,Bank of Bozeman,Bozeman,MT
114,"Bank of Bridger, National Association",Bridger,MT
115,Bank of Central Florida,Lakeland,FL
116,Bank of Charles Town,Charles Town,WV
117,Bank of Clarke,Berryville,VA
118,Bank of Colorado,Fort Collins,CO
119,Bank of Franklin County,Washington,MO
120,Bank of Hays,Hays,KS
121,Bank of Hope,Los Angeles,CA
122,Bank of Hydro,Hydro,OK
123,Bank of Idaho,Idaho Falls,ID
124,Bank of New Hampshire,Laconia,NH
125,Bank of Newington,Newington,GA
126,Bank of Oak Ridge,Oak Ridge,NC
127,Bank of San Francisco,San Francisco,CA
128,Bank of Springfield,Springfield,IL
129,Bank of St. Francisville,Saint Francisville,LA
130,Bank of Sun Prairie,Sun Prairie,WI
131,Bank of Travelers Rest,Travelers Rest,SC
132,Bank of Utah,Ogden,UT
133,Bank of Washington,Washington,MO
134,Bank of Wisconsin Dells,Wisconsin Dells,WI
135,Bank of the Flint Hills,Wamego,KS
136,Bank of the Orient,San Francisco,CA
137,Bank of the Pacific,Aberdeen,WA
138,Bank of the Rockies,Helena,MT
139,Bank of the Southwest,Roswell,NM
140,Bank of the Valley,Bellwood,NE
141,Bank of the West,Grapevine,TX
142,Bank3,Memphis,TN
143,BankCherokee,Saint Paul,MN
144,BankFirst,Norfolk,NE
145,BankFirst Financial Services,Columbus,MS
146,BankGloucester,Gloucester,MA
147,BankIowa,Cedar Rapids,IA
148,BankNewport,Newport,RI
149,BankPlus,Belzoni,MS
150,BankProv,Amesbury,MA
151,BankSouth,Greensboro,GA
152,"BankUnited, National Association",Miami Lakes,FL
153,BankVista,Sartell,MN
154,Bankers Trust Company,Des Moines,IA
155,Bankwell Bank,New Canaan,CT
156,Banner Bank,Walla Walla,WA
157,Bar Harbor Bank & Trust,Bar Harbor,ME
158,"Barrington Bank & Trust Company, National Association",Barrington,IL
159,Barwick Banking Company,Barwick,GA
160,Bath Savings Institution,Bath,ME
161,Bay State Savings Bank,Worcester,MA
162,BayCoast Bank,Swansea,MA
163,BayFirst National Bank,Saint Petersburg,FL
164,Beach Cities Commercial Bank,Irvine,CA
165,Beacon Community Bank,Mount Pleasant,SC
166,Belgrade State Bank,Belgrade,MO
167,Bell Bank,Fargo,ND
168,Bellwether Community CU,Manchester,NH
169,Beneficial State Bank,Oakland,CA
170,Berkshire Bank,Pittsfield,MA
171,Better Banks,Peoria,IL
172,"Beverly Bank & Trust Company, National Association",Chicago,IL
173,Black Business Investment Fund Inc.,Orlando,FL
174,Black Hills FCU,Rapid City,SD
175,Blue Foundry Bank,Parsippany,NJ
176,"Blue Ridge Bank, National Association",Martinsville,VA
177,Bonvenu Bank NA,Bossier City,LA
178,Branson Bank,Branson,MO
179,Bravera Bank,Dickinson,ND
180,"Bremer Bank, National Association",Saint Paul,MN
181,Bridgewater Bank,Saint Louis Park,MN
182,"Brightbridge, Inc.",Chattanooga,TN
183,Brighton Bank,Salt Lake City,UT
184,Bristol County Savings Bank,Taunton,MA
185,Broadway National Bank,San Antonio,TX
186,Brookline Bank,Brookline,MA
187,Brooklyn Cooperative FCU,New York City,NY
188,Bruning Bank,Bruning,NE
189,Bryant Bank,Tuscaloosa,AL
190,Buckeye State Bank,Powell,OH
191,Burke & Herbert Bank & Trust Company,Alexandria,VA
192,Busey Bank,Champaign,IL
193,Business Development Corporation of South Carolina,Columbia,SC
194,Business Finance Capital,Los Angeles,CA
195,Business Initiative Corporation of New York,Bronx,NY
196,"Business Resource Capital Specialty BIDCO, Inc.",New Orleans,LA
197,Byline Bank,Chicago,IL
198,CASE CU,Lansing,MI
199,CBI Bank & Trust,Muscatine,IA
200,CDC Small Business Finance Corporation,San Diego,CA
201,CFBank National Association,Columbus,OH
202,CIBC Bank USA,Chicago,IL
203,CIBM Bank,Champaign,IL
204,CNB Bank,Clearfield,PA
205,"CRF Small Business Loan Company, LLC",Minneapolis,MN
206,CS Bank,Eureka Springs,AR
207,CTBC Bank Corp. (USA).,Los Angeles,CA
208,Cache Valley Bank,Logan,UT
209,Cadence Bank,Tupelo,MS
210,CalPrivate Bank,La Jolla,CA
211,Caldwell Bank & Trust Company,Columbia,LA
212,"California Bank of Commerce, NA",San Diego,CA
213,California CU,Glendale,CA
214,California Coastal Certified Development Company,Salinas,CA
215,California FarmLink,Aptos,CA
216,"California International Bank, A National Banking Associatio",Westminster,CA
217,California Statewide Certified Development Corporation,Davis,CA
218,Cambridge Savings Bank,Cambridge,MA
219,Camden National Bank,Camden,ME
220,Campbell County Bank,Herreid,SD
221,"Cape & Islands Community Development, Inc.",Centerville,MA
222,Cape Ann Savings Bank,Gloucester,MA
223,Capital Bank,Houston,TX
224,"Capital Bank, National Association",Rockville,MD
225,Capital CU,Bismarck,ND
226,Capital Certified Development Corporation,Austin,TX
227,Capital Community Bank,Provo,UT
228,"Capital One, National Association",Mclean,VA
229,Capitol National Bank,Lansing,MI
230,"Carolina Community Impact, Inc.",Raleigh,NC
231,Carolina Small Business Development Fund,Raleigh,NC
232,Carter FCU,Springhill,LA
233,Cathay Bank,Los Angeles,CA
234,Cedar Rapids Bank and Trust Company,Cedar Rapids,IA
235,Celtic Bank Corporation,Salt Lake City,UT
236,"CenTrust Bank, National Association",Northbrook,IL
237,Centennial Bank,Conway,AR
238,CenterBank,Milford,OH
