lender_key,geography_key,date_key,reporting_period,approved_loan_count,approved_dollars,guaranty_dollars
905,146,20240930,2024-09-30,172,100387500,75542950.0
905,293,20240930,2024-09-30,121,70991100,53285575.0
1295,1523,20240930,2024-09-30,336,61237000,41934850.0
742,146,20240930,2024-09-30,213,60217600,36242300.0
1295,541,20240930,2024-09-30,379,55120700,38592350.0
905,1467,20240930,2024-09-30,64,54284300,40284975.0
109,146,20240930,2024-09-30,93,53516300,35364675.0
1424,2006,20240930,2024-09-30,30,52682100,39486275.0
1065,146,20240930,2024-09-30,198,51908700,39432025.0
285,146,20240930,2024-09-30,32,48723500,36417625.0
197,541,20240930,2024-09-30,40,45837300,34192975.0
905,164,20240930,2024-09-30,65,44133000,33089250.0
905,157,20240930,2024-09-30,82,43797000,33024900.0
671,146,20240930,2024-09-30,31,43567300,32675475.0
1362,146,20240930,2024-09-30,181,42683000,30019800.0
795,146,20240930,2024-09-30,31,42329000,30906750.0
905,2006,20240930,2024-09-30,66,40897500,30729375.0
905,261,20240930,2024-09-30,78,40598000,30442800.0
1295,1516,20240930,2024-09-30,265,40422900,28380430.0
873,2118,20240930,2024-09-30,82,39832500,29236845.0
860,541,20240930,2024-09-30,15,39395000,29546250.0
1435,146,20240930,2024-09-30,124,38471800,28341350.0
905,122,20240930,2024-09-30,74,37182000,27943750.0
795,1977,20240930,2024-09-30,30,36942000,25384000.0
982,300,20240930,2024-09-30,16,36909000,26356690.0
905,1424,20240930,2024-09-30,49,36360000,27330000.0
1295,961,20240930,2024-09-30,214,36086200,25141180.0
1362,164,20240930,2024-09-30,117,35875400,25459640.0
1219,1460,20240930,2024-09-30,256,35634600,19717300.0
1219,293,20240930,2024-09-30,245,34997600,22421300.0
795,2006,20240930,2024-09-30,26,33492300,24921525.0
795,157,20240930,2024-09-30,19,32104000,23310400.0
905,541,20240930,2024-09-30,58,31202400,23312550.0
784,146,20240930,2024-09-30,193,31161900,24977965.0
1295,978,20240930,2024-09-30,199,30773200,21744480.0
963,146,20240930,2024-09-30,26,30038800,20229100.0
1295,1529,20240930,2024-09-30,120,29942600,21313990.0
109,293,20240930,2024-09-30,77,29820400,18148900.0
905,355,20240930,2024-09-30,48,29783500,22396125.0
163,146,20240930,2024-09-30,164,29757300,24425355.0
403,146,20240930,2024-09-30,42,29550500,22954125.0
1173,146,20240930,2024-09-30,14,29190000,21892500.0
905,1460,20240930,2024-09-30,40,29181000,21868750.0
1030,1004,20240930,2024-09-30,26,29131900,21720175.0
1295,1672,20240930,2024-09-30,153,28843700,20368845.0
865,146,20240930,2024-09-30,18,28819600,21311634.0
1065,1460,20240930,2024-09-30,73,28326000,21229500.0
795,122,20240930,2024-09-30,25,28121500,20866125.0
1362,2258,20240930,2024-09-30,60,27724400,20325725.0
905,298,20240930,2024-09-30,55,27698000,20770500.0
905,280,20240930,2024-09-30,40,27595000,20767500.0
121,157,20240930,2024-09-30,32,27589500,20417375.0
857,122,20240930,2024-09-30,18,27136000,20352000.0
121,2258,20240930,2024-09-30,12,26473700,19973025.0
1065,2258,20240930,2024-09-30,26,25978500,19478225.0
849,122,20240930,2024-09-30,14,25824500,19368375.0
522,261,20240930,2024-09-30,12,25560000,18859500.0
1295,942,20240930,2024-09-30,175,25191900,16751895.0
1409,146,20240930,2024-09-30,22,25019000,19973150.0
242,2125,20240930,2024-09-30,41,24946700,18037505.0
795,298,20240930,2024-09-30,11,24665000,16481310.0
1362,160,20240930,2024-09-30,107,24340500,17271750.0
742,157,20240930,2024-09-30,71,23748700,14637775.0
1295,640,20240930,2024-09-30,130,23563200,16683500.0
522,293,20240930,2024-09-30,10,23101000,18290600.0
121,146,20240930,2024-09-30,77,22946000,15487000.0
795,188,20240930,2024-09-30,18,22755000,16899750.0
945,1081,20240930,2024-09-30,29,22723200,17557890.0
795,164,20240930,2024-09-30,18,22350000,16485000.0
951,541,20240930,2024-09-30,16,21970400,16115300.0
795,541,20240930,2024-09-30,15,21917000,16275250.0
795,300,20240930,2024-09-30,15,21740000,15381250.0
1295,1573,20240930,2024-09-30,151,21605000,14913185.0
742,1467,20240930,2024-09-30,81,21416600,11957275.0
1065,157,20240930,2024-09-30,69,20879800,15857600.0
795,1968,20240930,2024-09-30,9,20857000,14338500.0
1362,1004,20240930,2024-09-30,94,20780700,12706720.0
905,300,20240930,2024-09-30,49,20640000,15412550.0
1198,761,20240930,2024-09-30,24,20469600,14901175.0
1065,2006,20240930,2024-09-30,52,20402900,15447915.0
1362,157,20240930,2024-09-30,121,20358200,14035450.0
618,1274,20240930,2024-09-30,5,20248500,15186375.0
328,2118,20240930,2024-09-30,15,20095000,14750000.0
1435,122,20240930,2024-09-30,67,20024500,14752125.0
109,261,20240930,2024-09-30,48,20007500,12135525.0
1065,293,20240930,2024-09-30,111,19923200,15326700.0
36,1424,20240930,2024-09-30,22,19634800,14726100.0
951,1004,20240930,2024-09-30,15,19575600,14106700.0
905,2258,20240930,2024-09-30,23,19508000,14574000.0
1219,1719,20240930,2024-09-30,85,19298000,12894700.0
1065,261,20240930,2024-09-30,72,19206400,14584000.0
309,978,20240930,2024-09-30,20,19182300,13472975.0
109,2006,20240930,2024-09-30,37,19054700,12852675.0
1295,1977,20240930,2024-09-30,33,19012100,14006575.0
905,1466,20240930,2024-09-30,28,18994000,14225750.0
902,1477,20240930,2024-09-30,7,18990000,14242500.0
838,361,20240930,2024-09-30,8,18915000,14196250.0
479,2006,20240930,2024-09-30,27,18873400,14197100.0
97,1796,20240930,2024-09-30,80,18795000,11989950.0
109,157,20240930,2024-09-30,37,18754000,11920800.0
742,122,20240930,2024-09-30,65,18731000,11320000.0
1196,2006,20240930,2024-09-30,11,18715500,14036625.0
1295,1968,20240930,2024-09-30,40,18700000,13788750.0
905,163,20240930,2024-09-30,29,18648000,13936500.0
717,492,20240930,2024-09-30,30,18604300,13502475.0
1295,2006,20240930,2024-09-30,70,18574000,13553000.0
170,2006,20240930,2024-09-30,8,18477000,13657750.0
197,564,20240930,2024-09-30,13,18375000,13593750.0
1295,122,20240930,2024-09-30,58,18359100,13460575.0
1295,545,20240930,2024-09-30,99,18237100,13152305.0
1366,146,20240930,2024-09-30,13,18184000,13638000.0
905,1977,20240930,2024-09-30,40,18090000,13622000.0
1219,1488,20240930,2024-09-30,145,18074500,10882500.0
905,1948,20240930,2024-09-30,30,17970000,13541000.0
742,293,20240930,2024-09-30,89,17924000,8962000.0
491,1672,20240930,2024-09-30,25,17887200,13471900.0
309,2006,20240930,2024-09-30,24,17875300,12537975.0
1065,2272,20240930,2024-09-30,18,17793500,13384475.0
742,541,20240930,2024-09-30,79,17552400,9786375.0
795,1274,20240930,2024-09-30,15,17514000,12798000.0
742,2006,20240930,2024-09-30,72,17442800,10684700.0
905,183,20240930,2024-09-30,25,17413000,13057250.0
795,261,20240930,2024-09-30,16,17345000,12452750.0
1466,1424,20240930,2024-09-30,46,17218700,12372530.0
795,1672,20240930,2024-09-30,11,17026500,12394875.0
1435,157,20240930,2024-09-30,47,16969000,12573000.0
209,146,20240930,2024-09-30,50,16831000,12693750.0
905,130,20240930,2024-09-30,16,16775000,12480000.0
1295,949,20240930,2024-09-30,161,16617200,10760100.0
610,130,20240930,2024-09-30,7,16580000,12435000.0
905,1719,20240930,2024-09-30,17,16512000,12415750.0
1427,2258,20240930,2024-09-30,33,16350400,10889425.0
795,882,20240930,2024-09-30,7,16329600,11084150.0
905,2083,20240930,2024-09-30,27,16290000,12255000.0
742,1460,20240930,2024-09-30,80,16279600,8861450.0
463,1472,20240930,2024-09-30,17,16206000,13219500.0
1362,163,20240930,2024-09-30,86,16182600,11487850.0
463,1480,20240930,2024-09-30,19,16165000,12886500.0
945,1086,20240930,2024-09-30,9,16162000,11841230.0
522,146,20240930,2024-09-30,10,16013000,11972250.0
754,2258,20240930,2024-09-30,49,15791400,11113800.0
197,978,20240930,2024-09-30,6,15710000,11757500.0
522,2079,20240930,2024-09-30,13,15703000,11633500.0
618,2006,20240930,2024-09-30,4,15679600,11759700.0
580,2118,20240930,2024-09-30,17,15582800,11828100.0
795,1523,20240930,2024-09-30,6,15492000,10798500.0
170,866,20240930,2024-09-30,6,15425000,13031250.0
919,146,20240930,2024-09-30,111,15200900,12084215.0
905,1488,20240930,2024-09-30,24,15118600,11432700.0
795,135,20240930,2024-09-30,11,15060000,11240000.0
197,1977,20240930,2024-09-30,10,15020000,11215000.0
795,170,20240930,2024-09-30,12,15005000,11191250.0
1462,157,20240930,2024-09-30,3,15000000,11250000.0
931,2258,20240930,2024-09-30,8,14999000,11211750.0
671,163,20240930,2024-09-30,16,14975400,11231550.0
795,302,20240930,2024-09-30,9,14965000,11036250.0
742,1477,20240930,2024-09-30,64,14954700,8627900.0
210,164,20240930,2024-09-30,16,14917900,11188425.0
1435,1424,20240930,2024-09-30,57,14841500,10907375.0
1295,146,20240930,2024-09-30,56,14831500,10712375.0
1466,2118,20240930,2024-09-30,63,14807300,11038365.0
1065,1480,20240930,2024-09-30,36,14763000,11094050.0
905,1388,20240930,2024-09-30,17,14752000,10938250.0
671,160,20240930,2024-09-30,14,14732600,11049450.0
795,2118,20240930,2024-09-30,8,14723000,9654750.0
951,2341,20240930,2024-09-30,19,14632200,10545400.0
795,235,20240930,2024-09-30,7,14627000,10970250.0
1295,1004,20240930,2024-09-30,80,14613600,10059105.0
974,146,20240930,2024-09-30,18,14610000,10891200.0
905,203,20240930,2024-09-30,22,14544000,10840750.0
163,293,20240930,2024-09-30,91,14543300,12153305.0
830,541,20240930,2024-09-30,10,14428500,10658875.0
210,146,20240930,2024-09-30,13,14416600,10812450.0
1219,261,20240930,2024-09-30,108,14398500,8024875.0
1362,130,20240930,2024-09-30,48,14369800,10131600.0
630,2258,20240930,2024-09-30,17,14311900,10711425.0
1269,1300,20240930,2024-09-30,8,14261000,10695750.0
34,293,20240930,2024-09-30,5,14258200,10693566.9
671,157,20240930,2024-09-30,10,14219300,10664475.0
510,846,20240930,2024-09-30,4,14197000,10647750.0
522,1977,20240930,2024-09-30,8,14185000,10588750.0
742,1488,20240930,2024-09-30,50,14156200,8505700.0
905,961,20240930,2024-09-30,23,14138000,10584850.0
405,861,20240930,2024-09-30,92,14038600,8809355.0
618,355,20240930,2024-09-30,3,14018000,10513500.0
38,842,20240930,2024-09-30,21,13939800,10142975.0
163,300,20240930,2024-09-30,42,13877400,10863780.0
285,157,20240930,2024-09-30,10,13856600,10392450.0
717,503,20240930,2024-09-30,10,13844600,10183450.0
436,138,20240930,2024-09-30,15,13798000,10098500.0
795,163,20240930,2024-09-30,9,13793000,10094750.0
1462,146,20240930,2024-09-30,10,13780000,10350000.0
1362,122,20240930,2024-09-30,66,13645700,9663500.0
522,164,20240930,2024-09-30,8,13630000,10197500.0
1065,188,20240930,2024-09-30,18,13623000,10262700.0
905,2079,20240930,2024-09-30,20,13605000,10212250.0
328,2125,20240930,2024-09-30,8,13596600,9852500.0
96,1619,20240930,2024-09-30,30,13489600,9962950.0
462,978,20240930,2024-09-30,9,13487500,10002625.0
795,1488,20240930,2024-09-30,10,13479500,9869625.0
1219,1480,20240930,2024-09-30,94,13434900,7065700.0
795,308,20240930,2024-09-30,7,13416000,9837000.0
795,2258,20240930,2024-09-30,14,13413400,9866300.0
618,640,20240930,2024-09-30,3,13405000,10053750.0
1362,541,20240930,2024-09-30,88,13400500,9323420.0
784,157,20240930,2024-09-30,66,13389300,10544365.0
545,1634,20240930,2024-09-30,8,13225000,9933750.0
479,280,20240930,2024-09-30,9,13137000,9855250.0
905,949,20240930,2024-09-30,12,13115000,9838750.0
1295,211,20240930,2024-09-30,26,13095200,9640030.0
613,2006,20240930,2024-09-30,20,13085000,9578750.0
742,1977,20240930,2024-09-30,35,13066300,8844575.0
905,170,20240930,2024-09-30,30,13065000,9848750.0
1226,2006,20240930,2024-09-30,9,13054500,9665875.0
109,164,20240930,2024-09-30,26,13050300,8792700.0
1026,2006,20240930,2024-09-30,6,13039900,10543425.0
795,177,20240930,2024-09-30,4,13014000,9760500.0
742,164,20240930,2024-09-30,55,12998500,7616250.0
905,1378,20240930,2024-09-30,16,12975000,9653250.0
316,146,20240930,2024-09-30,17,12973000,9754450.0
420,146,20240930,2024-09-30,9,12903900,9677925.0
754,1516,20240930,2024-09-30,27,12859600,8868950.0
665,146,20240930,2024-09-30,13,12804500,9284375.0
947,293,20240930,2024-09-30,8,12804000,10016610.0
235,122,20240930,2024-09-30,25,12796400,9788790.0
795,1424,20240930,2024-09-30,10,12739500,9529625.0
109,541,20240930,2024-09-30,20,12715200,8582650.0
795,293,20240930,2024-09-30,11,12715000,9073750.0
628,320,20240930,2024-09-30,4,12710000,9532500.0
1244,1121,20240930,2024-09-30,13,12664000,9498000.0
1219,1378,20240930,2024-09-30,105,12620200,7019600.0
197,545,20240930,2024-09-30,10,12610000,9357500.0
1321,961,20240930,2024-09-30,13,12593100,9319825.0
436,146,20240930,2024-09-30,7,12568500,8641610.4
109,122,20240930,2024-09-30,25,12453200,8566975.0
163,302,20240930,2024-09-30,29,12443100,9530645.0
522,541,20240930,2024-09-30,6,12409000,9269250.0
1424,146,20240930,2024-09-30,14,12408500,9326375.0
1065,2275,20240930,2024-09-30,9,12393000,9319100.0
1219,1391,20240930,2024-09-30,94,12388900,7115700.0
1295,1572,20240930,2024-09-30,86,12343300,8162720.0
834,1685,20240930,2024-09-30,11,12300000,9100000.0
1295,1511,20240930,2024-09-30,39,12290600,8728590.0
109,300,20240930,2024-09-30,24,12270400,7514700.0
522,300,20240930,2024-09-30,12,12233500,9006375.0
1291,1350,20240930,2024-09-30,10,12216200,9173125.0
1362,170,20240930,2024-09-30,40,12170800,8781625.0
618,1300,20240930,2024-09-30,3,12074000,9055500.0
1222,1523,20240930,2024-09-30,59,12054800,8795870.0
1065,298,20240930,2024-09-30,57,12033700,9194025.0
657,146,20240930,2024-09-30,6,12031500,9386625.0
1295,1549,20240930,2024-09-30,69,12007000,8597300.0
873,122,20240930,2024-09-30,23,11996400,8911050.0
1462,1719,20240930,2024-09-30,12,11995000,8896250.0
905,161,20240930,2024-09-30,22,11993000,8994750.0
1435,2258,20240930,2024-09-30,19,11982700,8379385.0
1217,1977,20240930,2024-09-30,9,11945600,8959200.0
671,164,20240930,2024-09-30,9,11942500,8956875.0
795,2097,20240930,2024-09-30,6,11920000,8015000.0
795,203,20240930,2024-09-30,6,11915000,8811250.0
393,1300,20240930,2024-09-30,11,11873400,8830050.0
1295,1545,20240930,2024-09-30,87,11831600,8751330.0
1409,2006,20240930,2024-09-30,5,11824000,9699600.0
982,261,20240930,2024-09-30,4,11801000,8850750.0
795,130,20240930,2024-09-30,14,11798000,8698500.0
1219,1466,20240930,2024-09-30,101,11788500,7077500.0
905,1968,20240930,2024-09-30,27,11775000,8818750.0
98,293,20240930,2024-09-30,4,11750000,9375000.0
865,164,20240930,2024-09-30,7,11738500,8678875.0
618,1257,20240930,2024-09-30,3,11731000,8798250.0
1126,1977,20240930,2024-09-30,10,11702000,8657750.0
1295,2079,20240930,2024-09-30,45,11697100,8529575.0
163,1460,20240930,2024-09-30,88,11653300,9875305.0
109,1424,20240930,2024-09-30,19,11639800,8067075.0
795,18,20240930,2024-09-30,7,11620000,8377500.0
1219,300,20240930,2024-09-30,100,11599900,6927200.0
1295,203,20240930,2024-09-30,41,11577500,8503675.0
1065,1467,20240930,2024-09-30,40,11552500,8724075.0
1072,2006,20240930,2024-09-30,7,11518300,8583725.0
818,869,20240930,2024-09-30,70,11513600,7121000.0
1295,1554,20240930,2024-09-30,66,11496300,7883650.0
754,1554,20240930,2024-09-30,7,11492500,8484375.0
742,160,20240930,2024-09-30,35,11491500,7148625.0
905,335,20240930,2024-09-30,21,11475000,8641250.0
1454,1714,20240930,2024-09-30,11,11450900,8525675.0
795,168,20240930,2024-09-30,8,11404000,8388250.0
1207,161,20240930,2024-09-30,3,11375000,9281250.0
905,165,20240930,2024-09-30,13,11355000,8559250.0
1021,1926,20240930,2024-09-30,12,11278000,8383500.0
1072,2079,20240930,2024-09-30,6,11266100,9440540.0
36,2118,20240930,2024-09-30,12,11245000,8443600.0
97,1748,20240930,2024-09-30,23,11158600,7814300.0
1065,164,20240930,2024-09-30,47,11139000,8490410.0
1219,252,20240930,2024-09-30,22,11122000,8042750.0
1363,293,20240930,2024-09-30,7,11110000,8332500.0
795,1619,20240930,2024-09-30,6,11105000,8266250.0
580,2125,20240930,2024-09-30,7,11080300,8355225.0
1407,293,20240930,2024-09-30,5,11033500,8275125.0
795,1981,20240930,2024-09-30,10,11015000,6592250.0
1435,2006,20240930,2024-09-30,46,11010300,8116475.0
38,823,20240930,2024-09-30,6,10994400,8170800.0
1065,1488,20240930,2024-09-30,30,10983300,8292675.0
1219,1496,20240930,2024-09-30,44,10979000,7534000.0
733,122,20240930,2024-09-30,8,10972300,8011461.86
109,2258,20240930,2024-09-30,20,10954500,7207875.0
36,125,20240930,2024-09-30,8,10923400,8201800.0
905,254,20240930,2024-09-30,6,10910000,8182500.0
1217,2079,20240930,2024-09-30,7,10897600,8173200.0
795,1935,20240930,2024-09-30,3,10880000,8160000.0
479,146,20240930,2024-09-30,21,10877500,8112225.0
742,1466,20240930,2024-09-30,39,10872300,6377225.0
1093,863,20240930,2024-09-30,22,10850200,7410950.0
795,861,20240930,2024-09-30,8,10790000,7986250.0
192,545,20240930,2024-09-30,5,10720000,7915000.0
905,168,20240930,2024-09-30,14,10720000,7993750.0
1295,968,20240930,2024-09-30,70,10697600,7076740.0
1219,1472,20240930,2024-09-30,54,10655300,5992650.0
795,1992,20240930,2024-09-30,5,10632000,7974000.0
905,1714,20240930,2024-09-30,10,10599000,7916750.0
